id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
5YFG3RJsg3KuKlPsPStiBk,0.149,0.155,126.36,0.043,0.931,0.0,4,0.516,2,189721,-11.287,0.0942,0,audio_features,spotify:track:5YFG3RJsg3KuKlPsPStiBk
2hKdd3qO7cWr2Jo0Bcs0MA,0.64,0.154,79.297,0.0275,0.154,0.0,4,0.468,0,259933,-5.862,0.499,1,audio_features,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA
5PdJjDzNKlxJWKqqQkhJcY,0.685,0.103,120.0,0.0581,0.603,0.00169,4,0.779,3,178933,-10.51,0.511,0,audio_features,spotify:track:5PdJjDzNKlxJWKqqQkhJcY
2M9ro2krNb7nr7HSprkEgo,0.292,0.131,103.951,0.037,0.313,0.0,4,0.711,4,296800,-15.523,0.194,0,audio_features,spotify:track:2M9ro2krNb7nr7HSprkEgo
7vhhU4SsMDV8uSQlCxf1Lk,0.551,0.07,151.779,0.0352,0.00737,1.82e-05,4,0.634,3,258827,-7.136,0.453,1,audio_features,spotify:track:7vhhU4SsMDV8uSQlCxf1Lk
0JEC7w7f21ekH0jrwyZXu5,0.939,0.167,143.98,0.14,0.0108,0.0,3,0.464,11,237880,-3.616,0.463,1,audio_features,spotify:track:0JEC7w7f21ekH0jrwyZXu5
1IFbx5PR6BASAJC8Yd4mch,0.638,0.0856,115.009,0.0791,0.352,0.0364,4,0.848,2,223401,-7.776,0.62,0,audio_features,spotify:track:1IFbx5PR6BASAJC8Yd4mch
4HujwzHGxXQ9BkrqW3lIfJ,0.252,0.141,77.791,0.0394,0.882,0.0677,4,0.298,7,223264,-11.274,0.201,0,audio_features,spotify:track:4HujwzHGxXQ9BkrqW3lIfJ
1mFYKiyxiGXsG2JeT4ktMI,0.894,0.138,86.511,0.072,0.000168,0.00973,3,0.166,7,293326,-5.813,0.229,1,audio_features,spotify:track:1mFYKiyxiGXsG2JeT4ktMI
2E1X9CKQruwLgB9m8SY7Lm,0.316,0.0845,147.521,0.0388,0.365,0.0,4,0.787,2,190640,-7.556,0.738,1,audio_features,spotify:track:2E1X9CKQruwLgB9m8SY7Lm
5L6L9gR8NccLWepFMzJlAJ,0.598,0.0646,125.005,0.0761,0.00188,0.793,4,0.827,11,373228,-8.308,0.808,1,audio_features,spotify:track:5L6L9gR8NccLWepFMzJlAJ
3QzUyvbNWNiOAwUFzDMIfM,0.683,0.069,120.994,0.047,0.0215,0.699,4,0.795,7,301488,-8.506,0.75,0,audio_features,spotify:track:3QzUyvbNWNiOAwUFzDMIfM
3Jhch5CPIZJ1pIJaZHg9yL,0.711,0.074,125.996,0.0583,0.0328,0.121,4,0.858,1,395947,-8.903,0.297,1,audio_features,spotify:track:3Jhch5CPIZJ1pIJaZHg9yL
4CosTTcnNTEXWzNoK65HPq,0.897,0.161,113.553,0.0635,0.0112,0.0,5,0.301,7,211960,-3.321,0.339,1,audio_features,spotify:track:4CosTTcnNTEXWzNoK65HPq
